(-602,-4811)
(3814,-3954)
(-1931,-9421)
(-9913,9626)
(-6634,3776)
(-7836,6316)
(8825,3195)
(1644,8785)
(-773,-1508)
(-3149,6871)
(-7759,7012)
(553,626)
(4151,-3291)
(-5461,7438)
(6243,2427)
(-9605,-727)
(5094,-7828)
(5531,-3323)
(5258,-3447)
(-2077,-2044)
(-8983,2316)
(-3932,-1758)
(-7067,4598)
(400,-140)
(3627,-4725)
(421,-3725)
(-8416,9587)
(-8819,9466)
(9000,-6810)
(-2212,-7461)
(6137,9776)
(9735,-3662)
(6152,-130)
(8361,-5480)
(-2379,-1458)
(7475,-446)
(3979,9414)
(3349,-7896)
(5020,-1883)
(-2642,-8093)
(-2393,-8495)
(-3914,-6049)
(-8489,7571)
(7041,-7667)
(7410,7342)
(5259,-9401)
(-5325,7836)
(-7556,416)
(7928,-8747)
(7708,1878)
(5992,-3518)
(-3114,8745)
(8054,1680)
(-6885,-6922)
(3917,2257)
(-3319,-5766)
(-4762,-282)
(-1418,1007)
(-3728,-2295)
(8175,4121)
(-7024,2703)
(1017,672)
(-6034,-8744)
(6528,4349)
(4617,-9552)
(-8473,-7230)
(-2052,-5795)
(-9022,-9448)
(-5556,3542)
(3843,9860)
(6291,-2067)
(6774,3552)
(6834,3313)
(-581,-4255)
(-4826,4615)
(-8435,2285)
(9145,1973)
(-9930,2272)
(4499,8732)
(1934,4565)
(4536,-8598)
(4693,-60)
(-4392,-7395)
(-8104,7293)
(1095,4181)
(-7134,9689)
(-6484,5727)
(-2528,9357)
(-8893,-9628)
(-5277,8718)
(-6972,9942)
(-6083,33)
(4037,8665)
(-506,-7970)
(3949,6142)
(178,2167)
(4595,-5474)
(9439,-2977)
(8736,275)
(-1448,9066)
