(-46774,-90516)
(-8823,-59831)
(41837,20779)
(24009,81915)
(-65852,41291)
(-88917,-18090)
(-74665,-19671)
(32986,-39906)
(13227,62685)
(-52785,5623)
(8247,-62991)
(-33608,-76811)
(17135,93664)
(63308,65038)
(73919,2273)
(-59730,-4759)
(-58720,43957)
(-28498,-14481)
(34788,-98364)
(6032,45712)
(-18527,-90954)
(74437,-87586)
(-90513,-79291)
(-34080,11514)
(49908,84073)
(38882,-6927)
(-98770,-7184)
(49749,-27261)
(-30534,-72348)
(-19941,21285)
(16897,-48580)
(-62170,7186)
(19820,40864)
(16271,60869)
(835,36711)
(-35763,42285)
(65457,-51433)
(84908,-38996)
(43272,-86855)
(-9396,44020)
(41843,70353)
(86261,-53225)
(-10477,71567)
(40278,-7315)
(-30179,-19097)
(-38970,26276)
(-94369,64338)
(59083,-79525)
(27619,52543)
(-46785,85267)
(-8126,-57106)
(85944,-86476)
(-94270,-31836)
(-84224,-76902)
(36629,19144)
(60452,-2014)
(99045,2015)
(-73269,3224)
(-4747,-95461)
(-61748,12027)
(2125,-17796)
(37543,49200)
(88510,38383)
(82617,90984)
(77271,-95245)
(-68362,52648)
(-9262,-72885)
(88802,95420)
(-59471,6799)
(55019,-12495)
(41146,-744)
(-27080,-70373)
(28286,51018)
(92638,68495)
(41617,-32900)
(16878,99819)
(23727,-50123)
(-85619,-1732)
(-55961,17814)
(-22010,-56115)
(62175,-98925)
(-25720,73607)
(89449,94294)
(-5147,76679)
(88221,-47471)
(74260,-10751)
(-16775,-70619)
(52557,-57292)
(39185,-52478)
(77865,9744)
(-4975,-67808)
(57539,5937)
(59661,-52642)
(-5826,66856)
(42005,16951)
(-5884,-11438)
(-9283,-26559)
(-66498,560)
(-25514,80113)
(54763,89890)
(56854,-78853)
(31856,-68836)
(8966,87651)
(-33070,21189)
(-58092,-84975)
(-79449,-32299)
(-50777,-27584)
(-70045,-11633)
(27190,35300)
(90993,-38303)
(62162,99908)
(-48450,-54079)
(25070,49621)
(68751,-52596)
(84198,8956)
(-31601,63771)
(51899,-31984)
(84577,33970)
(2660,46757)
(9271,20254)
(30707,46468)
(15754,-22259)
(-78435,-80449)
(-63250,-70103)
(-76690,35666)
(9583,89596)
(8316,-55909)
(41880,-62822)
(-43729,60881)
(-25423,58588)
(-25258,-11382)
(-97748,12819)
(-77509,-21839)
(12586,84834)
(58005,-92961)
(53019,70120)
(77967,8232)
(30884,29805)
(-62445,-51044)
(51115,2467)
(10669,29351)
(57950,-12860)
(-18047,64771)
(-65825,29159)
(32463,-17946)
(95860,-1018)
(-16968,112)
(-11437,-18306)
(-82248,-15022)
(-13422,-71662)
(23845,-81226)
(64747,-99219)
(-83158,59300)
(-91430,-33403)
(64098,-87220)
(-42841,35893)
(-8931,16417)
(29893,65501)
(-53365,36661)
(81525,68914)
(-97233,79143)
(-93739,-46626)
(-9771,66899)
(-95277,-51655)
(58726,33258)
(86544,-83394)
(28888,80944)
(-89048,-66863)
(33051,-57457)
(75153,-65887)
(-26672,23227)
(-20120,51340)
(67835,-80768)
(-38811,-33265)
(79540,-91949)
(-53764,-99191)
(-19815,80926)
(-22034,71258)
(-63051,34800)
(34815,-19684)
(-86473,-1786)
(78200,52274)
(-19163,28304)
(46790,-22061)
(-71085,-87417)
(-20522,-48606)
(50391,79886)
(2336,52571)
(65845,-89132)
(-59676,-76703)
(-27829,-21286)
(-32143,13161)
(26972,-12644)
(53234,70039)
(20820,19764)
(20864,-87778)
(12642,68128)
(-59036,75669)
(-36684,35830)
(-95655,-14980)
(-42849,28884)
(74079,72096)
(-39527,-81062)
(-33182,-30387)
(-81423,35239)
(65269,80028)
(-41749,99815)
(-30823,59801)
(53622,44081)
(-257,20328)
(48124,61183)
(-31314,-50759)
(-70777,-50740)
(53945,12124)
(25450,9176)
(-42586,-12233)
(-90320,-49934)
(58179,17394)
(-23930,28137)
(-74424,-23035)
(-44728,58771)
(-41576,-2082)
(-34529,-62882)
(-50970,96189)
(-69731,63791)
(-20967,79754)
(-76258,5562)
(-63130,30039)
(36550,-86724)
(53975,-78551)
(-76066,-36884)
(-67575,-98050)
(-13483,1125)
(62173,66117)
(-2483,59012)
(11774,-2042)
(-10858,88772)
(-41574,-97992)
(98217,13774)
(76266,57150)
(244,49695)
(13631,-23978)
(25891,-36753)
(-72277,-68515)
(-92902,49859)
(80545,-25194)
(20957,27519)
